Jurisdiccion; Departamento;Nombre Institucion;Estado_ETP;Gestion;Matricula_Total;Matricula_Varones;Matricula_Mujeres;ORIENTACION;TIPO INST
San Juan;Jáchal;Escuela Agroindustrial  Mons. Dr. Juan A. Videla Cuello;Institución de ETP;Estatal;168;76;92;Industrial;SEC TEC
Santa Cruz;Río Chico;Escuela Agropecuaria Provincial Nº 01 Heroinas de Malvinas;Institución de ETP;Estatal;179;89;90;Agropecuaria;SEC TEC
La Pampa;Utracán;Escuela Agrotécnica  ;Institución de ETP;Estatal;48;22;26;Agropecuaria;SEC TEC
La Pampa;Loventué;Escuela Agrotécnica  Ag. Florencio Peirone ;Institución de ETP;Estatal;80;43;37;Agropecuaria;SEC TEC
Tucumán;Tafí del Valle;Escuela Agrotécnica  Amaicha del Valle;Institución de ETP;Estatal;71;41;30;Agropecuaria;SEC TEC-FP
Tucumán;Leales;Escuela Agrotécnica  Amalia Hernández de Castillo;Institución de ETP;Estatal;143;66;77;Agropecuaria;SEC TEC
Corrientes;General Paz;Escuela Agrotécnica  Arerunguá;Institución de ETP;Estatal;34;19;15;Agropecuaria;SEC TEC
Catamarca;Tinogasta;Escuela Agrotécnica  Ciudad de Tinogasta;Institución de ETP;Estatal;153;90;63;Agropecuaria;SEC TEC
San Juan;Iglesia;Escuela Agrotécnica  Cornelio Saavedra;Institución de ETP;Estatal;94;59;35;Agropecuaria;SEC TEC
Corrientes;Bella Vista;Escuela Agrotécnica  de Colonia 3 de Abril;Institución de ETP;Estatal;46;21;25;Agropecuaria;SEC TEC
Corrientes;San Roque;Escuela Agrotécnica  de Colonia Pando;Institución de ETP;Estatal;29;18;11;Agropecuaria;SEC TEC
Corrientes;Curuzú Cuatiá;Escuela Agrotécnica  de Curuzú Cuatiá;Institución de ETP;Estatal;242;162;80;Agropecuaria;SEC TEC
San Juan;Zonda;Escuela Agrotécnica  de Zonda;Institución de ETP;Estatal;115;63;52;Agropecuaria;SEC TEC
San Juan;Jáchal;Escuela Agrotécnica  Dr. Manuel Belgrano;Institución de ETP;Estatal;206;100;106;Agropecuaria;SEC TEC
Tucumán;Tafí del Valle;Escuela Agrotécnica  E.M.E.T.A.Tafí del Valle;Institución de ETP;Estatal;72;32;40;Agropecuaria;SEC TEC
